# Curated everyday foods and dishes — the friendly half of the catalogue, so a search for
# "manzana", "café solo" or "canelones" lands on one clean entry instead of a wall of
# USDA descriptors. Hand-entered, Spanish-first.
#
# Format:  es | en | category | basis | kcal | protein_g | carb_g | fat_g
#   basis 'g'       -> values are per 100 g / 100 ml, logged in grams
#   basis 'serving' -> values are for one typical portion (a cup, a unit, a plate), logged x1/x2…
# Composite-dish figures are approximate by nature. Categories must be one of the slugs in
# scripts/build-foods.mjs (CAT values).

# --- fruit (one piece) ---
Arroz a la cubana|Rice with tomato and egg|prepared|serving|480|13|70|15
Arroz tres delicias|Fried rice|prepared|serving|420|12|60|14
Risotto|Risotto (portion)|prepared|serving|450|12|60|16

# --- legume & stew dishes ---
Lentejas guisadas|Stewed lentils|prepared|serving|380|18|45|12
Garbanzos con espinacas|Chickpeas with spinach|prepared|serving|400|17|48|14
Fabada asturiana|Bean and pork stew|prepared|serving|560|26|40|30
Cocido|Chickpea and meat stew|prepared|serving|600|32|45|30
Potaje de garbanzos|Chickpea potage|prepared|serving|420|18|50|15

# --- soups & vegetables ---
Gazpacho|Gazpacho|prepared|serving|120|2|10|8
Crema de calabacín|Courgette soup|prepared|serving|120|4|12|6
Puré de verduras|Vegetable puree|prepared|serving|150|4|20|6
Sopa de fideos|Noodle soup|prepared|serving|150|6|22|3
Ensalada mixta|Mixed salad|prepared|serving|150|4|12|10
Ensalada César|Caesar salad|prepared|serving|360|16|14|27
Menestra de verduras|Mixed vegetables|prepared|serving|130|7|16|4
Pisto|Ratatouille|prepared|serving|160|3|14|10
Verduras a la plancha|Grilled vegetables|prepared|serving|110|4|14|4

# --- mains: meat & fish (a plated portion) ---
Pechuga de pollo a la plancha|Grilled chicken breast|protein|serving|250|46|0|6
Muslo de pollo asado|Roast chicken thigh|protein|serving|280|28|0|18
Filete de ternera a la plancha|Grilled beef steak|protein|serving|300|40|0|15
Cerdo a la plancha|Grilled pork loin|protein|serving|280|38|0|14
Albóndigas con tomate|Meatballs in tomato sauce|prepared|serving|420|26|18|27
Merluza a la plancha|Grilled hake|protein|serving|150|31|0|3
Salmón a la plancha|Grilled salmon|protein|serving|310|34|0|20
Bacalao al horno|Baked cod|protein|serving|180|32|2|5
Boquerones fritos|Fried anchovies|prepared|serving|300|24|10|18
Calamares a la romana|Fried squid rings|prepared|serving|320|18|24|18

# --- fast food / fried ---
Pizza margarita (porción)|Pizza margherita (slice)|prepared|serving|270|11|33|10
Hamburguesa con queso|Cheeseburger|prepared|serving|550|30|40|30
Perrito caliente|Hot dog|prepared|serving|350|12|30|20
Patatas fritas (ración)|French fries (portion)|prepared|serving|380|4|48|19
Patatas bravas|Patatas bravas|prepared|serving|340|5|40|18
Nuggets de pollo (6)|Chicken nuggets (6)|prepared|serving|290|15|18|18
Croquetas (3)|Croquettes (3)|prepared|serving|240|8|20|14
Empanadilla|Small pie|prepared|serving|160|5|16|8

# --- cured meats & cheese (per 100 g) ---
Jamón serrano|Cured ham|protein|g|240|31|0.3|13
Jamón cocido|Cooked ham|protein|g|110|18|1|4
Chorizo|Chorizo|protein|g|455|24|2|38
Salchichón|Salami|protein|g|390|22|1|32
Lomo embuchado|Cured pork loin|protein|g|250|43|1|8
Queso manchego|Manchego cheese|dairy|g|390|26|0.5|32
Queso fresco|Fresh cheese|dairy|g|145|13|3|9
Requesón|Ricotta|dairy|g|97|11|3|4
Queso rallado|Grated cheese|dairy|g|400|28|2|31

# --- dairy (a pot) ---
Yogur natural|Plain yogurt (pot)|dairy|serving|75|4|6|4
Yogur desnatado|Skim yogurt (pot)|dairy|serving|55|5|8|0.2
Yogur griego|Greek yogurt (pot)|dairy|serving|130|4|5|10
Yogur de sabores|Fruit yogurt (pot)|dairy|serving|120|4|18|3
Natillas|Custard (pot)|sweet|serving|150|4|22|5
Flan|Crème caramel|sweet|serving|145|4|24|4

# --- snacks & sweets (per 100 g unless noted) ---
Patatas fritas de bolsa|Crisps|snack|g|540|6|53|34
Frutos secos variados|Mixed nuts|nuts|g|600|20|20|50
Aceitunas|Olives|fat|g|145|1|6|15
Chocolate con leche|Milk chocolate|sweet|g|535|8|58|30
Chocolate negro|Dark chocolate|sweet|g|560|7|46|38
Crema de cacao|Chocolate hazelnut spread|sweet|g|540|6|57|31
Turrón|Nougat|sweet|g|500|10|50|30
Helado (bola)|Ice cream (scoop)|sweet|serving|130|2|16|7
Tarta de queso (porción)|Cheesecake (slice)|sweet|serving|350|6|30|22
Palmera de chocolate|Chocolate palmier|sweet|serving|320|4|38|17
Barrita de cereales|Cereal bar|sweet|serving|110|2|18|3

# --- staples & extras (per 100 g) ---
Pan blanco|White bread|grain|g|265|9|49|3.2
Pan integral|Whole-wheat bread|grain|g|247|13|41|4
Pan de molde|Sliced bread|grain|g|250|8|46|4
Arroz blanco cocido|White rice, cooked|grain|g|130|2.7|28|0.3
Pasta cocida|Pasta, cooked|grain|g|155|5.8|30|0.9
Patata cocida|Boiled potato|vegetable|g|85|1.7|20|0.1
Puré de patata|Mashed potato|prepared|g|110|2|15|4
Tomate frito|Tomato sauce|condiment|g|85|1.5|11|3.5
Mayonesa|Mayonnaise|fat|g|680|1|1|75
Aceite de oliva|Olive oil|fat|g|884|0|0|100
Mantequilla|Butter|dairy|g|717|0.9|0.1|81
Miel|Honey|sweet|g|304|0.3|82|0
Mermelada|Jam|sweet|g|250|0.4|65|0.1
Azúcar|Sugar|sweet|g|400|0|100|0
